month,login,trades,winrate,mean_bps
2026-05,130000531,139,0.6,2.1523445742823952
2026-05,130060691,50,0.5476190476190477,0.15572115591265237
2026-05,150003484,55,0.6,0.07675713061021745
2026-05,160001949,624,0.3440643863179074,2.3555819094640285
2026-05,160002689,58,0.35714285714285715,3.9381772659524907
2026-05,160003467,110,0.525,0.07152192938264527
2026-05,160005267,87,0.4691358024691358,0.8915210763835061
2026-05,160009366,105,0.3563218390804598,0.0919217872144164
2026-05,160009823,70,0.296875,0.11889963326894762
2026-05,160013596,112,0.36470588235294116,0.07314519480925391
2026-05,160014311,1072,0.3200859291084855,0.1767086366825871
2026-05,160014455,162,0.3888888888888889,0.05812672210528603
2026-05,160014964,58,0.5306122448979592,1.0522792432114547
2026-05,160015209,146,0.3283582089552239,1.019931420828661
2026-05,160015635,103,0.42592592592592593,0.46246983070201564
2026-05,160015997,51,0.4117647058823529,0.13955738219680702
2026-06,130000531,231,0.7035398230088495,1.7810156517644642
2026-06,130031830,55,0.5,0.198879794794507
2026-06,130060122,61,0.38461538461538464,0.1631994176936458
2026-06,130060184,461,0.5851851851851851,0.07479773741826484
2026-06,160006333,91,0.581081081081081,0.05187009725838002
2026-06,160007395,125,0.5277777777777778,0.08513596837392025
2026-06,160007418,84,0.5573770491803278,0.14165994508695268
2026-06,160008766,123,0.4880952380952381,0.06765884008048707
2026-06,160009187,56,0.38181818181818183,0.14752320275852798
2026-06,160011946,93,0.5875,0.12791351773034185
2026-06,160014497,957,0.4520166898470097,0.11625071400687025
2026-06,160015373,80,0.52,0.08514583154744411
2026-06,160015462,107,0.6354166666666666,0.1217939018120313
2026-06,160016160,64,0.5526315789473685,0.05475801131605609
2026-06,160016951,99,0.5285714285714286,0.09634121693782298
